name,description,period,start,end,scaling_config_json,params_json,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
vol_scale_lb10_beta2p0,"波动率缩放 lookback=10 天, beta=2.0",2021,20210101,20211231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=2.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta2p0"", ""scaling_beta"": 2.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.044372,-0.077327,-0.080641,0.5752,306,243,-0.097487
vol_scale_lb10_beta2p0,"波动率缩放 lookback=10 天, beta=2.0",2022,20220101,20221231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=2.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta2p0"", ""scaling_beta"": 2.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.06528,0.096742,-0.090987,0.3803,426,242,0.073995
vol_scale_lb10_beta2p0,"波动率缩放 lookback=10 天, beta=2.0",2023,20230101,20231231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=2.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta2p0"", ""scaling_beta"": 2.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.064596,-0.036976,-0.110159,0.3623,483,242,-0.064516
vol_scale_lb10_beta2p0,"波动率缩放 lookback=10 天, beta=2.0",2024,20240101,20241231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=10 \u5929, beta=2.0"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb10_beta2p0"", ""scaling_beta"": 2.0, ""volatility_lookback"": 10}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.030146,0.034504,-0.106891,0.4372,430,242,0.007781
vol_scale_lb20_beta0p5,"波动率缩放 lookback=20 天, beta=0.5",2019,20190101,20191231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=20 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb20_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 20}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.268909,0.061543,-0.116389,0.6327,147,244,0.032446
vol_scale_lb20_beta0p5,"波动率缩放 lookback=20 天, beta=0.5",2020,20200101,20201231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=20 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb20_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 20}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.102103,-0.20627,-0.175223,0.3368,95,243,-0.250076
vol_scale_lb20_beta0p5,"波动率缩放 lookback=20 天, beta=0.5",2021,20210101,20211231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=20 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb20_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 20}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.109285,-0.012413,-0.078581,0.6316,114,243,-0.032058
vol_scale_lb20_beta0p5,"波动率缩放 lookback=20 天, beta=0.5",2022,20220101,20221231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=20 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb20_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 20}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.113391,0.04863,-0.12524,0.3444,180,242,0.01732
vol_scale_lb20_beta0p5,"波动率缩放 lookback=20 天, beta=0.5",2023,20230101,20231231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=20 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb20_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 20}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",-0.040311,-0.012692,-0.106675,0.3935,155,242,-0.039361
vol_scale_lb20_beta0p5,"波动率缩放 lookback=20 天, beta=0.5",2024,20240101,20241231,"{""description"": ""\u6ce2\u52a8\u7387\u7f29\u653e lookback=20 \u5929, beta=0.5"", ""mode"": ""volatility"", ""name"": ""vol_scale_lb20_beta0p5"", ""scaling_beta"": 0.5, ""volatility_lookback"": 20}","{""cost_model_enabled"": 1.0, ""holding_cost_pct"": 0.0, ""market_impact_cap_pct"": 0.02, ""market_impact_coeff"": 0.001, ""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""slippage_pct"": 0.0015, ""stop_gap_ratio_floor"": 0.3, ""stop_signal_threshold"": 999.0, ""switch_hurdle_pct"": 0.03}",0.037,0.041358,-0.157408,0.4483,232,242,0.002006
