candidate,min_gap_pct,sell_gap_pct,switch_hurdle_pct,max_hold_days,stop_gap_ratio_floor,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.005,0.0,0.01,180.0,0.0,1.24986,0.977546,-0.209723,0.5769,1638,1456,0.925115
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.005,0.005,0.01,180.0,0.0,1.24986,0.977546,-0.209723,0.5769,1638,1456,0.925115
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.03,0.0,0.02,90.0,0.0,1.237839,0.965524,-0.184459,0.5532,1410,1456,0.919409
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.03,0.005,0.02,90.0,0.0,1.237839,0.965524,-0.184459,0.5532,1410,1456,0.919409
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.0,0.0,0.01,90.0,0.0,1.236596,0.964281,-0.228295,0.5827,2562,1456,0.907207
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.0,0.005,0.01,90.0,0.0,1.236596,0.964281,-0.228295,0.5827,2562,1456,0.907207
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.005,0.0,0.02,180.0,0.0,1.221255,0.948941,-0.184379,0.5908,1608,1456,0.902846
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.005,0.005,0.02,180.0,0.0,1.221255,0.948941,-0.184379,0.5908,1608,1456,0.902846
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.005,0.0,0.02,90.0,0.0,1.208515,0.936201,-0.189241,0.5875,2000,1456,0.888891
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.005,0.005,0.02,90.0,0.0,1.208515,0.936201,-0.189241,0.5875,2000,1456,0.888891
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.005,0.0,0.03,180.0,0.0,1.193684,0.92137,-0.217972,0.5814,1579,1456,0.866877
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.005,0.005,0.03,180.0,0.0,1.193684,0.92137,-0.217972,0.5814,1579,1456,0.866877
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.0,0.0,0.03,360.0,0.0,1.182698,0.910383,-0.231806,0.594,1734,1456,0.852432
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.0,0.005,0.03,360.0,0.0,1.182698,0.910383,-0.231806,0.594,1734,1456,0.852432
