bond_id,name,meeting_date,before_price,after_price,T+0,T+1,T+2,T+3,T+4,T+5,T+6,T+7,T+8,T+9,T+10,T+11,T+12,T+13,T+14,T+15,T+16,T+17,T+18,T+19,T+20,T+21,T+22,T+23,T+24,T+25,T+26,T+27,T+28,T+29,T+30,T+31,T+32,T+33,T+34,T+35,T+36,T+37,T+38,T+39,T+40,T+41,T+42,T+43,T+44,T+45,T+46,T+47,T+48,T+49,T+50,T+51,T+52,T+53,T+54,T+55,T+56,T+57,T+58,T+59,T+60
127091,科数转债,2024-10-28,34.550,27.650,118.5,117.2,117.79,118.21,116.47,117.51,118.57,119.0,119.47,118.5,119.46,118.88,119.6,116.93,116.3,113.3,115.01,115.38,115.2,113.48,113.4,112.8,114.0,114.02,115.48,115.5,115.52,115.0,115.29,115.3,115.1,116.15,119.78,119.47,118.73,117.3,115.9,118.01,119.21,123.0,123.8,124.1,123.71,129.5,127.52,126.62,125.8,122.9,123.15,123.6,127.5,126.65,128.92,126.6,125.89,131.0,129.4,129.06,131.24,130.4,133.3
123219,宇瞳转债,2024-03-28,15.320,12.500,117.5,118.0,121.6,120.99,120.7,122.6,122.94,120.68,120.3,123.92,122.41,123.69,128.33,127.38,124.75,122.04,123.11,127.72,128.16,128.86,130.13,130.0,131.28,131.2,132.36,133.24,131.57,128.88,129.62,129.51,127.81,128.65,129.82,129.27,128.97,127.8,126.72,126.26,125.65,125.29,125.63,127.65,128.15,126.03,125.8,125.87,125.67,127.5,127.38,126.46,126.98,127.02,127.65,127.36,125.4,124.6,122.55,122.88,124.88,123.84,126.23
123218,宏昌转债,2024-03-11,29.620,28.000,112.03,109.1,109.05,108.42,109.2,111.12,112.0,113.6,113.34,112.23,111.6,110.5,108.8,110.28,110.83,113.22,113.55,113.02,112.4,112.7,111.6,112.0,123.14,113.5,111.47,115.13,118.5,115.44,113.6,112.82,113.3,113.9,116.32,115.8,119.25,122.45,123.0,121.8,122.58,123.9,124.0,122.8,120.67,120.67,121.25,120.5,122.35,123.72,121.1,122.84,121.16,118.89,119.3,118.85,120.08,119.09,118.84,118.35,115.45,117.36,118.23
110095,双良转债,2025-03-25,7.200,6.180,117.57,116.64,115.63,116.27,114.48,114.31,114.36,112.8,104.77,103.0,103.75,105.77,103.69,103.65,101.28,97.66,98.68,99.19,100.07,99.3,99.55,99.08,99.04,97.3,95.98,97.43,100.34,100.57,101.75,101.23,102.68,104.85,103.8,102.93,102.85,102.97,103.73,103.08,101.3,100.42,99.41,98.28,97.58,99.41,98.8,98.9,100.29,100.05,100.09,101.22,100.95,101.5,102.24,101.67,102.5,102.5,101.48,100.74,100.88,100.08,101.42
123216,科顺转债,2024-06-27,10.260,7.000,93.98,95.37,97.27,96.45,95.76,96.02,96.2,94.65,94.25,95.01,95.96,96.01,95.58,95.45,95.45,95.39,95.6,95.42,94.75,93.96,94.2,94.79,95.8,96.7,97.01,96.6,96.06,95.18,94.0,94.0,94.3,94.06,93.28,91.65,91.46,92.2,90.0,91.44,91.0,91.8,92.05,90.75,92.2,92.0,92.22,93.1,94.86,94.04,94.77,95.1,96.3,97.26,96.85,94.4,94.95,95.71,85.0,81.45,80.58,78.2,79.4
123215,铭利转债,2025-01-03,37.420,19.200,112.85,113.03,114.25,113.75,114.4,113.59,113.55,114.66,115.4,115.46,116.11,116.48,116.79,116.0,115.8,116.3,114.71,115.49,116.5,117.65,117.86,117.31,117.89,118.61,118.41,118.82,120.0,122.04,121.75,122.3,122.3,121.26,122.39,120.7,118.72,119.17,119.64,120.24,122.25,126.4,133.01,129.0,128.55,127.89,128.5,126.93,126.74,129.6,129.48,125.7,125.9,125.65,126.18,123.46,124.0,122.7,122.53,123.07,121.65,112.12,113.72
113068,金铜转债,2024-08-26,6.630,5.900,98.74,97.0,97.79,98.44,99.87,99.09,98.75,98.99,100.32,99.7,99.32,98.77,98.88,98.2,97.33,97.66,99.25,98.9,99.12,103.38,102.91,105.35,106.57,108.1,110.1,105.76,105.1,103.08,104.89,104.38,104.98,104.55,105.09,105.64,106.02,106.82,105.61,106.22,106.99,107.04,106.1,107.0,108.34,109.16,112.63,111.69,112.06,111.18,112.62,111.57,110.89,108.99,108.27,107.35,108.75,108.98,108.96,108.0,108.83,110.28,109.57
123212,立中转债,2024-07-04,23.300,19.090,117.3,117.2,116.0,119.4,118.7,120.0,119.72,118.14,117.69,116.64,116.01,115.24,113.91,111.5,109.5,109.0,113.23,110.57,110.43,114.08,114.61,113.59,110.02,109.18,108.32,108.31,108.01,107.0,107.43,106.6,105.4,101.88,102.85,101.17,101.68,101.54,101.5,104.5,103.3,103.34,102.39,104.57,101.76,102.36,102.58,103.2,101.49,101.3,99.89,100.4,100.45,99.74,97.48,99.86,97.01,96.8,101.11,100.9,104.88,107.68,113.4
118040,宏微转债,2024-01-29,62.350,40.000,113.0,111.67,108.5,108.32,106.89,104.57,107.41,107.01,109.92,110.0,111.06,111.79,112.31,111.88,112.8,114.95,110.25,112.59,113.86,113.44,111.9,110.73,109.69,109.9,111.53,112.44,112.5,112.32,112.35,113.72,114.0,114.48,114.12,112.75,111.12,109.4,107.65,108.08,109.0,109.6,109.04,108.81,107.69,108.39,107.61,107.51,107.72,105.78,102.98,103.84,104.16,103.58,102.85,103.29,103.92,104.18,102.52,102.91,102.54,103.5,103.86
123208,孩王转债,2024-02-23,11.640,7.180,113.74,116.1,118.9,115.0,116.99,119.4,122.0,118.46,117.35,116.11,115.8,116.41,116.6,116.28,115.59,115.51,116.4,116.4,119.52,119.38,117.36,116.15,113.72,111.53,112.04,112.44,114.61,114.29,114.45,112.48,114.03,113.56,114.16,113.74,112.3,109.5,112.09,111.95,111.14,110.76,110.91,111.41,112.95,115.09,116.29,116.3,117.33,117.15,116.59,117.19,117.11,115.71,116.39,116.09,116.28,115.82,117.2,117.8,117.62,116.52,115.9
