trade_date,n_bonds,valid_returns,pool_mean_return,pool_median_return,missing_return_ratio
20190308,122,122,-0.0205621690160771,-0.019043354260089684,0.0
20190311,122,122,0.022427680824507516,0.017814479249342208,0.0
20190312,122,122,0.012367671954360547,0.008140551534984719,0.0
20190313,122,122,-0.010674483381021603,-0.007876332965618682,0.0
20190314,123,122,-0.019114441651661904,-0.015746429993741873,0.008130081300813052
20190315,123,123,0.010773498873746113,0.0057088487155090295,0.0
20190318,123,123,0.019029857303634788,0.01674780915287233,0.0
20190319,124,123,0.008266999152692453,0.003954750298905463,0.008064516129032251
20190320,124,123,-0.0021771862244003826,-0.0028861290886829094,0.008064516129032251
20190321,124,124,0.01160825382524425,0.008344917612659541,0.0
20190322,127,124,-0.0004529640618689841,-0.001347184239481436,0.023622047244094446
20190325,128,127,-0.00992919581812237,-0.008645756600628052,0.0078125
20190326,128,128,-0.02181847349588909,-0.02190974410403873,0.0
20190327,128,128,0.0033484439240884355,-4.672897196300596e-06,0.0
20190328,129,128,-0.004211230598887683,-0.0027560043652522515,0.007751937984496138
20190329,131,129,0.017667609978214788,0.016435493064791862,0.01526717557251911
20190401,131,131,0.027150702065412563,0.021615181686664986,0.0
20190402,134,131,0.0036092562815874868,0.003985828166519045,0.02238805970149249
20190403,136,134,0.0037286846008522073,0.0017943143501635284,0.014705882352941124
20190404,138,136,0.0064643949688353184,0.0013613797506962788,0.01449275362318836
20190408,138,137,-0.001953223705568221,-0.008341597153357139,0.007246376811594235
20190409,137,137,-0.0070625842265828595,-0.002636363636363659,0.0
20190410,139,137,-0.00573429398729403,-0.006184487077040779,0.014388489208633115
20190411,138,138,-0.014666802184883724,-0.011945038350933246,0.0
20190412,138,138,0.0018924943288461764,-0.0006081966645420378,0.0
20190415,139,138,-0.007086806705651118,-0.0065415513211086185,0.007194244604316502
20190416,141,139,0.005514259017421278,0.0,0.014184397163120588
20190417,143,142,0.005365767529535636,0.00047291274150651486,0.006993006993006978
20190418,144,143,-0.0003541395280492508,-0.0008849557522123686,0.00694444444444442
20190419,145,144,0.002521116568043642,0.0009518015170999483,0.006896551724137945
20190422,147,146,-0.004902041527909555,-0.01091103750733502,0.006802721088435382
20190423,147,147,-0.014064409007923157,-0.010320287973780373,0.0
20190424,151,146,-0.0021916050061635923,-0.004034123454294325,0.0331125827814569
20190425,152,152,-0.01748847273938872,-0.018397218737816023,0.0
20190426,153,152,-0.007183336307999423,-0.007902015146508512,0.006535947712418277
20190429,151,151,-0.013552502058131573,-0.007547169811320753,0.0
20190430,154,151,0.007572382475146396,0.005950019833399489,0.01948051948051943
20190506,154,154,-0.032767643883409796,-0.02841663521466148,0.0
20190507,156,154,0.00578027789497751,0.004433047799161871,0.012820512820512775
20190508,158,156,0.004050135788993412,0.0027648752314458624,0.012658227848101222
20190509,158,158,0.0004020039521512695,0.0018669124418936311,0.0
20190510,159,158,0.018778002021766778,0.015664040794538536,0.0062893081761006275
20190513,158,158,-0.00471641877112743,-0.0036784535687141573,0.0
20190514,159,158,0.0019558873862102924,4.513042693377045e-05,0.0062893081761006275
20190515,159,159,0.01272044747145683,0.008731190785807197,0.0
20190516,160,159,0.0022252768641141236,0.002188552188552295,0.006249999999999978
20190517,160,159,-0.015616230973818708,-0.012788632326820593,0.006249999999999978
20190520,160,160,-0.006579388686711754,-0.004587981623157933,0.0
20190521,160,160,0.006232083814400192,0.0047359867499061625,0.0
20190522,160,160,-0.0005970361359581109,-0.0006334690206275528,0.0
20190523,160,160,-0.008520667150228822,-0.004815470795155208,0.0
20190524,160,160,-0.0017514569823265055,-0.000807652248233981,0.0
