candidate,leave_year,year,signal_date,effective_date,breadth_drop_threshold,breadth_panic_ratio,breadth_normal_to_risk_min_days,confirm_pool_mean_threshold,breadth_effective_lag_days,n_bonds,valid_returns,drop_share,pool_mean_return,confirm_hit,missing_return_ratio
breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p005,2022,2022,20220307,20220308,-0.03,0.2,1,-0.005,1,381,381,0.3175853018,-0.0241441488,1,0.0
breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p005,2022,2022,20220315,20220316,-0.03,0.2,1,-0.005,1,383,382,0.2140992167,-0.0194302942,1,0.0026109661
breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p005,2022,2022,20220425,20220426,-0.03,0.2,1,-0.005,1,399,398,0.4110275689,-0.0301395737,1,0.0025062657
breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p005,2022,2022,20220524,20220525,-0.03,0.2,1,-0.005,1,407,407,0.2285012285,-0.0206611945,1,0.0
breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p005,2022,2022,20220824,20220825,-0.03,0.2,1,-0.005,1,428,428,0.2663551402,-0.0222698077,1,0.0
breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p005,2022,2022,20220831,20220901,-0.03,0.2,1,-0.005,1,429,428,0.2447552448,-0.0195134434,1,0.0023310023
breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p005,2022,2024,20240122,20240123,-0.03,0.2,1,-0.005,1,547,547,0.2888482633,-0.0220656848,1,0.0
breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p005,2022,2024,20240205,20240206,-0.03,0.2,1,-0.005,1,545,545,0.2036697248,-0.0172454494,1,0.0
breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p005,2022,2024,20240228,20240229,-0.03,0.2,1,-0.005,1,544,544,0.3290441176,-0.021977533,1,0.0
breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p005,2022,2024,20240624,20240625,-0.03,0.2,1,-0.005,1,531,531,0.2730696798,-0.021820951,1,0.0
breadth_dropm0p03_ratio0p2_rec3_h0p1_min1_confirmm0p005,2022,2024,20241009,20241010,-0.03,0.2,1,-0.005,1,535,535,0.723364486,-0.0430171447,1,0.0
