trade_date,n_bonds,valid_returns,pool_mean_return,pool_median_return,min_bond_return,median_bond_return,drop_share_0p03,drop_share_0p05,missing_return_ratio
20220617,413,413,0.004837585396270443,0.0028740637519597545,-0.09583227230286062,0.0028740637519597545,0.029055690072639227,0.014527845036319613,0.0
20220620,413,413,-0.011249929558491387,-0.004949521717201866,-0.12881060613764794,-0.004949521717201866,0.15980629539951574,0.11138014527845036,0.0
20220621,414,413,0.0014905884204692162,-0.001611013473930889,-0.08181885800709088,-0.001611013473930889,0.03864734299516908,0.007246376811594203,0.0024154589371980784
20220622,414,414,0.0014052471439653783,-0.002340001759854715,-0.0699055944055944,-0.002340001759854715,0.016908212560386472,0.007246376811594203,0.0
20220623,414,414,0.007776940198368925,0.004645667951006738,-0.15145161583536837,0.004645667951006738,0.04106280193236715,0.01932367149758454,0.0
20220624,414,414,0.007255826743052764,0.004365182710203475,-0.07074074074074077,0.004365182710203475,0.03140096618357488,0.012077294685990338,0.0
20220627,414,414,0.010028257841072797,0.006491520897050296,-0.12845360824742258,0.006491520897050296,0.014492753623188406,0.007246376811594203,0.0
20220628,413,413,0.0077379067846513,0.005122632722756926,-0.0522292993630572,0.005122632722756926,0.026634382566585957,0.004842615012106538,0.0
20220629,412,412,-0.013299346426916402,-0.010004638170113767,-0.09724314926732347,-0.010004638170113767,0.17475728155339806,0.05339805825242718,0.0
20220630,412,412,0.006472696569205469,0.003680685204733858,-0.06822327044025156,0.003680685204733858,0.021844660194174758,0.0048543689320388345,0.0
20220701,413,412,-0.0002437432016941583,0.0006175906555091482,-0.16176470588235292,0.0006175906555091482,0.04116222760290557,0.012106537530266344,0.002421307506053294
20220704,413,413,0.0066541457134999035,0.0012626262626262985,-0.06250368188512523,0.0012626262626262985,0.004842615012106538,0.002421307506053269,0.0
20220705,414,413,-0.0025113309007342563,-0.003498931623931667,-0.05040000000000011,-0.003498931623931667,0.036231884057971016,0.0024154589371980675,0.0024154589371980784
20220706,414,414,-0.007265689222892045,-0.007304759316922926,-0.06257161309139381,-0.007304759316922926,0.043478260869565216,0.00966183574879227,0.0
20220707,413,413,0.005961804918262822,0.0021762785636560977,-0.07626589595375721,0.0021762785636560977,0.01694915254237288,0.009685230024213076,0.0
20220708,413,412,-0.0028556279703257767,0.0008365223382718057,-0.14592274678111583,0.0008365223382718057,0.07021791767554479,0.031476997578692496,0.002421307506053294
20220711,413,413,-0.009216057890981087,-0.007905354828108724,-0.1093015446608463,-0.007905354828108724,0.07990314769975787,0.01694915254237288,0.0
20220712,413,413,-0.01135452280482048,-0.010000000000000009,-0.17285579641847315,-0.010000000000000009,0.07990314769975787,0.03389830508474576,0.0
20220713,413,413,0.006677060001759436,0.003568242640499708,-0.09718547706163816,0.003568242640499708,0.007263922518159807,0.002421307506053269,0.0
20220714,413,413,0.006469937947468888,0.0034123222748814186,-0.05518394648829428,0.0034123222748814186,0.01694915254237288,0.009685230024213076,0.0
20220715,413,412,-0.0027292880109931377,-0.0029315525102418527,-0.06848478115974221,-0.0029315525102418527,0.0387409200968523,0.004842615012106538,0.002421307506053294
20220718,413,413,0.011683908719930827,0.007542033626901423,-0.0602831545316157,0.007542033626901423,0.007263922518159807,0.002421307506053269,0.0
20220719,414,413,0.0052519066997962546,0.004142651296829891,-0.10306067415730347,0.004142651296829891,0.01932367149758454,0.012077294685990338,0.0024154589371980784
20220720,416,414,0.006993561747749614,0.004287145340215903,-0.07010033444816055,0.004287145340215903,0.021634615384615384,0.007211538461538462,0.004807692307692291
20220721,419,416,-0.0029775986893633578,-0.00233182728305531,-0.13024691358024687,-0.00233182728305531,0.03579952267303103,0.016706443914081145,0.007159904534606243
20220722,419,419,-0.0032656436751375213,-0.0026683501683500976,-0.11047372316802362,-0.0026683501683500976,0.05250596658711217,0.021479713603818614,0.0
20220725,420,419,-0.004352398159470557,-0.0022414345180915562,-0.1605395704278353,-0.0022414345180915562,0.05238095238095238,0.014285714285714285,0.0023809523809523725
20220726,419,419,0.007248444830944265,0.0038729666924866013,-0.0680981595092024,0.0038729666924866013,0.021479713603818614,0.002386634844868735,0.0
20220727,420,419,0.008603078018116156,0.00415929203539811,-0.03397071129707108,0.00415929203539811,0.004761904761904762,0.0,0.0023809523809523725
20220728,423,420,0.007127101855861585,0.003331216883264654,-0.12363353493308049,0.003331216883264654,0.016548463356973995,0.002364066193853428,0.007092198581560294
20220729,422,422,-0.0009632314641982221,-0.0029559763585367826,-0.06945301707668339,-0.0029559763585367826,0.035545023696682464,0.014218009478672985,0.0
20220801,421,421,0.006440470179885636,0.0012875301336838785,-0.04115447181740428,0.0012875301336838785,0.011876484560570071,0.0,0.0
20220802,423,421,-0.013453920732318249,-0.010251954821893894,-0.08721237798740666,-0.010251954821893894,0.14420803782505912,0.037825059101654845,0.004728132387706863
20220803,424,423,-0.003529061369874998,-0.0015561015561015301,-0.14173312956683692,-0.0015561015561015301,0.06132075471698113,0.025943396226415096,0.002358490566037763
20220804,424,424,0.002569643366310444,0.0022136630779430178,-0.083391891891892,0.0022136630779430178,0.02830188679245283,0.0047169811320754715,0.0
20220805,424,424,0.001854762678697997,0.0020899813727260907,-0.14849648418051742,0.0020899813727260907,0.049528301886792456,0.009433962264150943,0.0
20220808,424,424,0.009737177852573425,0.003961341640809191,-0.12296946194114422,0.003961341640809191,0.007075471698113208,0.0023584905660377358,0.0
20220809,424,424,0.0022280035195812358,0.0006535816564611219,-0.09776000000000007,0.0006535816564611219,0.025943396226415096,0.007075471698113208,0.0
20220810,423,423,0.00047512363154497423,-0.0007947430653820753,-0.10938109593899625,-0.0007947430653820753,0.01182033096926714,0.009456264775413711,0.0
20220811,425,423,0.005292926317204906,0.004423841059602696,-0.09495188846516178,0.004423841059602696,0.02588235294117647,0.007058823529411765,0.004705882352941226
20220812,428,425,-0.001291110522630786,9.470512268605624e-05,-0.07312744053958098,9.470512268605624e-05,0.04439252336448598,0.007009345794392523,0.007009345794392496
20220815,428,428,0.004805167417544046,0.0016662885761203894,-0.06953453699583956,0.0016662885761203894,0.009345794392523364,0.002336448598130841,0.0
20220816,427,427,0.005022839367018674,0.001700680272108901,-0.03869339655860471,0.001700680272108901,0.00936768149882904,0.0,0.0
20220817,428,427,0.0007777753417987231,0.0007724601175482793,-0.1305654880148326,0.0007724601175482793,0.02570093457943925,0.004672897196261682,0.002336448598130869
20220818,430,428,-0.007640709819976283,-0.006968566469257642,-0.10730043454172866,-0.006968566469257642,0.05813953488372093,0.009302325581395349,0.0046511627906976605
20220819,429,429,-0.014427183986055055,-0.010317630684218204,-0.08388524023505017,-0.010317630684218204,0.17715617715617715,0.06293706293706294,0.0
20220822,428,428,0.003489677388657315,0.003015746617370474,-0.06880733944954132,0.003015746617370474,0.02102803738317757,0.004672897196261682,0.0
20220823,429,428,0.00249444325717302,0.0008536149033442353,-0.06918407310704955,0.0008536149033442353,0.018648018648018648,0.002331002331002331,0.002331002331002363
20220824,428,428,-0.022269807660925473,-0.014772577209275384,-0.13584666692124592,-0.014772577209275384,0.26635514018691586,0.10981308411214953,0.0
20220825,429,428,-0.012192611143940353,-0.008457775360287634,-0.10950528071150645,-0.008457775360287634,0.1282051282051282,0.05128205128205128,0.002331002331002363
20220826,430,429,-0.0017039649900531806,-0.0005941459152468687,-0.09808073654390925,-0.0005941459152468687,0.044186046511627906,0.013953488372093023,0.0023255813953488857
20220829,429,428,-0.0017650109058000882,-0.0031995411826744036,-0.05544823551636502,-0.0031995411826744036,0.023310023310023312,0.009324009324009324,0.002331002331002363
20220830,428,428,-0.002465608364333631,-0.0013145783474669548,-0.0844429130466885,-0.0013145783474669548,0.04672897196261682,0.011682242990654205,0.0
20220831,429,428,-0.01951344340720854,-0.013431133595533551,-0.14430775632378312,-0.013431133595533551,0.24475524475524477,0.09557109557109557,0.002331002331002363
20220901,431,429,-0.002800586786372303,-0.0007585593207977137,-0.09850991434940748,-0.0007585593207977137,0.04408352668213457,0.013921113689095127,0.004640371229698403
20220902,432,431,0.00873315624402605,0.005628313771695481,-0.03721968921559493,0.005628313771695481,0.004629629629629629,0.0,0.0023148148148147696
20220905,431,431,0.006827134581913529,0.004093327875562824,-0.053140826971048494,0.004093327875562824,0.004640371229698376,0.002320185614849188,0.0
20220906,431,431,0.01182438673470535,0.006804461942257367,-0.020918022950573878,0.006804461942257367,0.0,0.0,0.0
20220907,433,431,0.005714298149527284,0.0018446281551180999,-0.044078947368420995,0.0018446281551180999,0.004618937644341801,0.0,0.004618937644341847
20220908,433,433,-0.007287003605340417,-0.004499404272954033,-0.12675137524096092,-0.004499404272954033,0.04849884526558892,0.013856812933025405,0.0
20220909,432,432,-0.0021074063286720575,-0.0009595624355290822,-0.06164821482653027,-0.0009595624355290822,0.032407407407407406,0.006944444444444444,0.0
20220913,432,432,0.001919269022130372,-5.611739094696366e-05,-0.03071312992110753,-5.611739094696366e-05,0.0023148148148148147,0.0,0.0
20220914,433,432,-0.004946906494668051,-0.004087829513851782,-0.05751922581594737,-0.004087829513851782,0.025404157043879907,0.004618937644341801,0.002309468822170868
20220915,432,432,-0.014140713221524527,-0.008141454847360119,-0.12111197394638784,-0.008141454847360119,0.14583333333333334,0.06481481481481481,0.0
20220916,432,432,-0.011675940975746557,-0.010120853926171847,-0.10609037328094295,-0.010120853926171847,0.05324074074074074,0.009259259259259259,0.0
20220919,433,432,-0.004471231319060014,-0.004063569019680191,-0.06220283018867934,-0.004063569019680191,0.018475750577367205,0.004618937644341801,0.002309468822170868
20220920,432,431,0.007550981275718458,0.002754663309846528,-0.034758269720101875,0.002754663309846528,0.0023148148148148147,0.0,0.0023148148148147696
20220921,433,432,0.0035114264999088363,0.002721264055757011,-0.11532421323845155,0.002721264055757011,0.004618937644341801,0.0023094688221709007,0.002309468822170868
20220922,431,431,-0.0010353791607883207,-0.0018712457150045214,-0.04749086315963846,-0.0018712457150045214,0.009280742459396751,0.0,0.0
20220923,431,431,-0.00928793537067159,-0.0074020611635168265,-0.07622615650767262,-0.0074020611635168265,0.05568445475638051,0.002320185614849188,0.0
20220926,430,430,-0.005982252853095487,-0.0066614037797155246,-0.041516436903499376,-0.0066614037797155246,0.018604651162790697,0.0,0.0
20220927,430,430,0.006322622721073321,0.004809800898996186,-0.05591715976331357,0.004809800898996186,0.004651162790697674,0.002325581395348837,0.0
20220928,430,430,-0.011803185020450241,-0.008090775937931616,-0.08158168718372638,-0.008090775937931616,0.10232558139534884,0.023255813953488372,0.0
20220929,431,431,-0.00464405871807855,-0.003990610328638455,-0.07399202481169687,-0.003990610328638455,0.03480278422273782,0.016241299303944315,0.0
20220930,431,431,-0.005308198475585493,-0.0018113006091691197,-0.1564688995215311,-0.0018113006091691197,0.05104408352668213,0.02320185614849188,0.0
20221010,431,431,-0.006992254279684974,-0.005471704720549142,-0.11044841462610111,-0.005471704720549142,0.07888631090487239,0.016241299303944315,0.0
20221011,431,430,0.0061677078652479025,0.0024455874601598815,-0.06117066128803783,0.0024455874601598815,0.013921113689095127,0.004640371229698376,0.002320185614849146
20221012,432,431,0.015616810237277443,0.010938559727318609,-0.02657342657342654,0.010938559727318609,0.0,0.0,0.0023148148148147696
20221013,433,432,0.010176803993865816,0.008020773563459205,-0.052334158477733594,0.008020773563459205,0.006928406466512702,0.0023094688221709007,0.002309468822170868
20221014,433,433,0.01266450402061806,0.010292688851105236,-0.07679052589409696,0.010292688851105236,0.006928406466512702,0.0023094688221709007,0.0
20221017,434,433,0.0030019157211065416,0.0028694550063370627,-0.06491185311560654,0.0028694550063370627,0.020737327188940093,0.009216589861751152,0.0023041474654378336
20221018,434,434,0.0017029661219824523,-0.0014610721934445459,-0.018327272727272748,-0.0014610721934445459,0.0,0.0,0.0
20221019,434,434,-0.003231099344372254,-0.0037109545452473913,-0.04487623491670012,-0.0037109545452473913,0.016129032258064516,0.0,0.0
20221020,435,434,-0.006632843354526555,-0.003950733939502016,-0.07563921700741871,-0.003950733939502016,0.07126436781609195,0.027586206896551724,0.0022988505747126853
20221021,436,435,-0.002141045144644327,-0.0012182095850142849,-0.13257142857142856,-0.0012182095850142849,0.020642201834862386,0.0022935779816513763,0.002293577981651418
20221024,437,436,-0.00949282326596559,-0.009845138089531025,-0.10913140311804004,-0.009845138089531025,0.02517162471395881,0.006864988558352402,0.0022883295194507935
20221025,439,437,-0.005997843561995097,-0.005722077899660949,-0.08865248226950351,-0.005722077899660949,0.04555808656036447,0.015945330296127564,0.004555808656036442
20221026,439,439,0.010744986574084894,0.008446666666666713,-0.06395428446237683,0.008446666666666713,0.00683371298405467,0.004555808656036446,0.0
20221027,442,439,-0.0007600421083506257,-0.0006041626808712675,-0.09842271293375393,-0.0006041626808712675,0.020361990950226245,0.00904977375565611,0.006787330316742057
20221028,442,441,-0.015517502229721276,-0.012049718811747434,-0.11351636747624072,-0.012049718811747434,0.1244343891402715,0.03619909502262444,0.002262443438914019
20221031,443,442,-0.0021693741624023524,-0.002492579083994362,-0.20000084593780665,-0.002492579083994362,0.040632054176072234,0.009029345372460496,0.0022573363431150906
