name,kind,regime_lookback_days,regime_risk_threshold,regime_risk_recovery_days,regime_risk_switch_hurdle_pct,y2019_excess,y2019_total,y2019_dd,y2019_trades,y2019_risk_days,y2020_excess,y2020_total,y2020_dd,y2020_trades,y2020_risk_days,y2021_excess,y2021_total,y2021_dd,y2021_trades,y2021_risk_days,y2022_excess,y2022_total,y2022_dd,y2022_trades,y2022_risk_days,y2023_excess,y2023_total,y2023_dd,y2023_trades,y2023_risk_days,y2024_excess,y2024_total,y2024_dd,y2024_trades,y2024_risk_days,main_floor_pass_count,passes_main_floors,params_json,leave_year,selection_avg_excess,selection_avg_abs_dd,selection_score,replay_2019_excess,replay_2019_total,replay_2019_trades,rank,selected_for_leave,holdout_baseline_excess,holdout_improved_or_equal,replay_2020_excess,replay_2020_total,replay_2020_trades,replay_2021_excess,replay_2021_total,replay_2021_trades,replay_2022_excess,replay_2022_total,replay_2022_trades,replay_2023_excess,replay_2023_total,replay_2023_trades,replay_2024_excess,replay_2024_total,replay_2024_trades
selfpnl_lb10_thrm0p02_rec2_h0p08,candidate,10,-0.02,2,0.08,0.15148,0.358846,-0.10789,174,2,-0.145867,-0.0417,-0.151539,87,50,-0.024242,0.097456,-0.088886,145,25,0.024959,-0.137062,-0.165681,200,28,-0.027978,-0.055598,-0.140349,166,2,0.036094,0.031736,-0.16574,259,5,1,0,"{""name"": ""selfpnl_lb10_thrm0p02_rec2_h0p08"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": -0.02}",2019,-0.027407,0.142439,-0.177467,0.15148,0.358846,174,21,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb60_thrm0p02_rec2_h0p08,candidate,60,-0.02,2,0.08,0.152012,0.359378,-0.107737,152,17,-0.148742,-0.044575,-0.145583,84,129,-0.028949,0.09275,-0.088886,115,117,0.030629,-0.131392,-0.159257,195,66,-0.029429,-0.057048,-0.14095,156,63,0.039398,0.03504,-0.166296,250,54,2,0,"{""name"": ""selfpnl_lb60_thrm0p02_rec2_h0p08"", ""regime_lookback_days"": 60, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": -0.02}",2019,-0.027419,0.140194,-0.180857,0.152012,0.359378,152,22,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb60_thr0_rec3_h0p1,candidate,60,0.0,3,0.1,0.132836,0.340202,-0.107732,151,53,-0.142934,-0.038767,-0.144576,77,176,-0.037346,0.084352,-0.088886,106,138,0.050245,-0.111777,-0.156275,181,80,-0.03168,-0.059299,-0.142937,143,95,0.031,0.026641,-0.155055,236,93,1,0,"{""name"": ""selfpnl_lb60_thr0_rec3_h0p1"", ""regime_lookback_days"": 60, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": 0.0}",2019,-0.026143,0.137546,-0.181469,0.132836,0.340202,151,23,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb20_thr0_rec3_h0p05,candidate,20,0.0,3,0.05,0.134247,0.341613,-0.104417,155,82,-0.14853,-0.044363,-0.137282,82,157,-0.035562,0.086137,-0.088886,97,125,0.035728,-0.126293,-0.156627,179,110,-0.026967,-0.054587,-0.136562,153,134,0.03099,0.026632,-0.166437,244,102,2,0,"{""name"": ""selfpnl_lb20_thr0_rec3_h0p05"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": 0.0}",2019,-0.028868,0.137159,-0.182858,0.134247,0.341613,155,24,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb10_thrm0p01_rec3_h0p08,candidate,10,-0.01,3,0.08,0.151758,0.359123,-0.10722,151,20,-0.145696,-0.041529,-0.151336,89,89,0.001017,0.122715,-0.088886,111,67,0.02511,-0.136911,-0.164606,174,54,-0.02925,-0.05687,-0.142243,157,46,0.023812,0.019454,-0.156678,241,41,1,0,"{""name"": ""selfpnl_lb10_thrm0p01_rec3_h0p08"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 3, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": -0.01}",2019,-0.025001,0.14075,-0.184139,0.151758,0.359123,151,25,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb10_thr0_rec1_h0p1,candidate,10,0.0,1,0.1,0.139733,0.347099,-0.104706,147,97,-0.145696,-0.041529,-0.151336,89,145,-0.013252,0.108446,-0.088886,137,129,0.023906,-0.138115,-0.164979,160,110,-0.025341,-0.052961,-0.138256,144,133,0.018189,0.013831,-0.154502,229,109,2,0,"{""name"": ""selfpnl_lb10_thr0_rec1_h0p1"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": 0.0}",2019,-0.028439,0.139592,-0.184267,0.139733,0.347099,147,26,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb60_thrm0p01_rec1_h0p08,candidate,60,-0.01,1,0.08,0.148196,0.355562,-0.107737,152,33,-0.148824,-0.044657,-0.145442,78,156,-0.028949,0.09275,-0.088886,115,124,0.030629,-0.131392,-0.159257,195,70,-0.029755,-0.057374,-0.141258,154,78,0.036009,0.031651,-0.147703,243,81,2,0,"{""name"": ""selfpnl_lb60_thrm0p01_rec1_h0p08"", ""regime_lookback_days"": 60, ""regime_risk_recovery_days"": 1, ""regime_risk_switch_hurdle_pct"": 0.08, ""regime_risk_threshold"": -0.01}",2019,-0.028178,0.136509,-0.184775,0.148196,0.355562,152,27,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb20_thrm0p01_rec2_h0p05,candidate,20,-0.01,2,0.05,0.16189,0.369256,-0.103344,156,42,-0.150825,-0.046659,-0.138571,87,117,-0.029579,0.092119,-0.08892,113,96,0.032091,-0.12993,-0.157966,182,81,-0.026271,-0.053891,-0.138574,156,79,0.029919,0.025561,-0.167854,254,62,3,0,"{""name"": ""selfpnl_lb20_thrm0p01_rec2_h0p05"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": -0.01}",2019,-0.028933,0.138377,-0.185897,0.16189,0.369256,156,28,0,0.161312,1,,,,,,,,,,,,,,,
selfpnl_lb10_thrm0p02_rec2_h0p1,candidate,10,-0.02,2,0.1,0.15148,0.358846,-0.10789,174,2,-0.145867,-0.0417,-0.151539,87,50,-0.001339,0.120359,-0.088886,145,25,0.023105,-0.138916,-0.167477,200,28,-0.027696,-0.055315,-0.140083,166,2,0.036094,0.031736,-0.16574,259,5,2,0,"{""name"": ""selfpnl_lb10_thrm0p02_rec2_h0p1"", ""regime_lookback_days"": 10, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.1, ""regime_risk_threshold"": -0.02}",2019,-0.023141,0.142745,-0.189477,0.15148,0.358846,174,29,0,0.161312,0,,,,,,,,,,,,,,,
selfpnl_lb20_thr0p01_rec2_h0p05,candidate,20,0.01,2,0.05,0.126561,0.333927,-0.104275,154,113,-0.148662,-0.044495,-0.143162,84,185,-0.023548,0.09815,-0.088886,124,168,0.036258,-0.125763,-0.156112,170,157,-0.030367,-0.057987,-0.135837,140,177,0.01897,0.014612,-0.156599,235,154,2,0,"{""name"": ""selfpnl_lb20_thr0p01_rec2_h0p05"", ""regime_lookback_days"": 20, ""regime_risk_recovery_days"": 2, ""regime_risk_switch_hurdle_pct"": 0.05, ""regime_risk_threshold"": 0.01}",2019,-0.02947,0.136119,-0.19047,0.126561,0.333927,154,30,0,0.161312,0,,,,,,,,,,,,,,,
