bond_code,bond_name,meeting_date,ratio,T+0,T+1,T+2,T+3,T+4,T+5,T+6,T+7,T+8,T+9,T+10,T+11,T+12,T+13,T+14,T+15,T+16,T+17,T+18,T+19,T+20,T+21,T+22,T+23,T+24,T+25,T+26,T+27,T+28,T+29,T+30,T+31,T+32,T+33,T+34,T+35,T+36,T+37,T+38,T+39,T+40,T+41,T+42,T+43,T+44,T+45,T+46,T+47,T+48,T+49,T+50,T+51,T+52,T+53,T+54,T+55,T+56,T+57,T+58,T+59,T+60
123224,宇邦转债,2024-05-13,0.7034026465028356,120.199,123.559,123.311,122.752,122.321,122.368,123.29,125.99,124.081,122.65,122.0,122.25,122.817,122.627,122.677,120.163,121.7,120.023,118.107,117.0,118.3,119.899,118.8,119.064,117.899,118.572,117.6,114.338,114.362,110.4,109.83,112.67,111.6,111.69,112.686,112.1,111.001,107.199,107.699,103.229,105.2,106.1,109.1,108.964,106.555,107.18,104.6,104.56,106.25,105.431,103.38,102.209,104.099,105.24,103.85,104.155,106.805,106.488,105.2,104.488,107.2
123237,佳禾转债,2024-07-15,0.6287037037037037,109.55,109.9,108.542,106.232,109.449,107.48,106.12,104.967,104.89,107.032,108.072,107.197,109.598,109.75,108.2,106.042,106.286,106.001,106.31,106.5,105.939,106.11,108.5,106.871,107.19,107.264,104.344,104.235,102.348,103.345,106.49,103.836,105.056,107.249,110.06,108.08,108.204,107.0,107.8,107.601,107.086,106.32,105.6,104.651,103.8,102.76,104.58,104.325,103.73,107.133,108.8,110.669,112.64,118.5,130.0,121.12,122.2,118.99,118.5,117.488,125.26
127003,海印转债,2018-08-09,0.6666666666666666,92.4,89.35,89.36,88.77,88.069,87.804,87.933,87.05,87.89,88.031,88.32,88.55,88.65,88.575,88.82,88.64,88.48,88.4,88.46,88.602,88.75,88.7,88.599,88.665,88.82,88.899,88.9,88.7,88.786,88.938,88.702,88.85,88.72,88.665,88.555,88.69,88.32,88.36,88.578,87.432,87.615,87.902,87.745,87.581,87.18,87.196,88.02,87.8,87.879,87.72,88.68,88.66,88.81,89.001,89.216,90.1,90.285,90.18,90.15,90.198,90.002
127006,敖东转债,2022-09-26,0.7275464124435524,116.47,116.7,116.3,115.96,116.83,115.72,116.0,116.83,116.6,118.0,117.6,117.59,116.25,116.29,116.31,115.13,114.35,115.72,116.37,115.15,115.49,116.3,117.95,117.77,120.8,118.88,118.31,118.75,119.11,118.98,120.91,125.0,124.0,123.2,122.81,122.85,122.24,120.5,120.7,121.45,120.5,124.01,124.1,124.34,124.25,126.5,125.6,124.78,124.0,124.2,125.61,123.02,120.99,121.48,121.7,118.83,118.18,117.65,117.5,117.62,116.9
127007,湖广转债,2024-06-12,0.6792114695340502,107.98,113.12,108.6,108.191,107.943,107.904,107.831,107.8,107.79,107.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127015,希望转债,2023-12-27,0.539714867617108,105.501,107.105,108.1,108.849,107.576,107.636,107.18,104.461,104.39,104.18,104.766,105.7,105.148,104.728,103.254,102.999,103.049,101.888,102.237,102.309,102.911,102.82,102.383,102.04,102.15,102.55,102.27,101.38,103.195,103.062,102.998,102.731,103.4,104.155,104.631,104.9,104.4,104.269,103.55,103.918,103.907,103.858,104.001,103.7,103.392,103.428,104.2,104.38,104.06,104.024,104.188,104.549,105.67,106.241,107.5,106.612,106.134,106.299,105.51,105.776,106.041
127017,万青转债,2024-04-19,0.7064516129032258,112.206,111.35,111.445,111.736,111.95,112.001,111.82,111.894,113.211,113.12,112.891,113.214,112.8,112.424,112.795,113.297,113.995,115.748,115.34,115.7,116.66,116.149,115.9,116.022,115.7,114.6,114.657,114.62,111.53,111.831,111.44,111.3,111.484,110.692,110.637,110.502,110.693,110.65,110.677,110.79,110.638,110.479,109.55,109.6,110.8,110.569,110.7,111.053,110.775,110.7,110.53,110.8,110.861,110.912,110.664,110.9,110.896,110.526,110.368,110.4,110.348
127019,国城转债,2024-07-08,0.5943396226415094,94.8,94.127,93.699,98.909,97.348,96.103,96.97,96.451,94.6,94.499,93.882,91.7,90.912,91.401,92.877,92.73,93.5,95.111,95.527,95.78,94.27,94.283,94.899,94.799,94.59,94.551,94.693,94.505,94.599,93.346,94.52,94.4,94.158,93.549,93.288,94.018,93.678,94.031,94.193,95.218,94.111,94.525,94.9,96.005,95.69,95.587,95.043,94.565,94.51,93.917,92.836,93.753,93.264,93.148,95.704,95.901,97.62,100.513,105.5,112.497,104.352
127021,特发转2,2021-12-13,0.5944849959448499,124.5,130.0,129.0,129.0,126.86,126.0,126.5,126.5,127.74,127.59,124.82,123.29,122.2,124.0,124.13,124.86,125.65,125.86,125.5,125.65,125.16,125.17,125.14,124.2,125.78,127.0,128.27,127.39,127.99,128.1,125.6,126.19,123.83,123.4,120.6,121.2,123.01,122.8,121.0,117.6,115.4,114.8,114.31,117.37,122.24,120.15,122.48,120.95,121.6,121.82,121.3,121.08,119.81,118.33,116.99,115.36,112.6,114.35,113.8,114.65,112.61
127028,英特转债,2021-04-09,0.6767219708396179,101.85,102.56,102.01,102.0,101.98,102.07,102.72,103.35,108.6,106.15,108.6,112.3,109.35,109.81,108.6,109.8,108.8,106.14,108.5,107.16,108.43,111.28,112.5,110.39,109.69,110.03,109.56,110.03,110.12,111.7,111.3,112.0,110.4,110.55,110.2,112.78,112.15,111.75,111.37,110.97,110.69,109.62,108.66,108.0,107.22,106.78,107.19,108.62,108.93,108.9,108.31,108.65,108.87,108.4,108.31,108.15,107.32,107.3,107.27,107.23,108.11
127041,弘亚转债,2024-09-11,0.7131537242472267,111.7,111.064,110.919,110.871,112.004,111.462,111.1,112.68,113.082,116.61,117.08,119.3,121.0,115.65,115.3,115.127,115.603,115.447,116.221,115.55,116.058,117.198,118.5,118.8,117.575,118.173,118.151,117.098,116.799,118.404,118.305,118.66,120.144,119.494,120.774,119.99,120.977,119.8,119.601,120.12,121.88,119.379,122.197,122.31,122.123,120.101,120.35,119.252,119.499,119.493,120.797,121.25,121.434,122.285,122.328,122.302,121.622,122.877,124.114,124.148,122.767
127046,百润转债,2026-03-03,0.44301628106255353,131.9,133.1,132.99,133.511,133.478,134.04,133.978,133.2,131.699,131.6,129.9,130.038,128.724,127.001,126.12,127.989,128.989,126.69,127.667,126.752,126.988,129.8,128.9,128.401,129.143,131.895,130.75,130.5,129.848,130.91,130.8,132.0,132.542,132.098,131.41,131.73,130.597,130.31,,,,,,,,,,,,,,,,,,,,,,,
127047,帝欧转债,2024-10-31,0.3823088455772114,84.267,83.687,85.698,87.49,88.0,89.129,87.938,87.9,88.135,87.9,87.095,85.383,84.35,83.464,85.432,86.088,85.14,92.1,90.7,89.6,89.17,89.61,91.458,91.531,89.582,90.642,91.845,91.85,92.11,94.399,98.299,96.7,95.58,92.465,92.2,91.07,92.368,88.387,89.0,87.287,87.701,88.795,87.14,90.398,89.498,86.989,81.499,85.5,83.697,84.693,83.408,83.88,88.0,89.468,87.329,86.092,87.26,87.197,86.862,87.15,86.994
127049,希望转2,2023-12-27,0.7366226546212647,101.801,103.55,104.422,104.722,103.997,103.35,102.92,101.946,101.6,101.339,101.518,101.879,101.728,101.398,100.49,100.31,100.567,99.583,99.91,99.931,100.339,100.986,100.149,99.552,99.101,99.574,99.805,98.866,99.41,98.411,99.125,98.959,99.85,100.705,100.85,100.86,100.525,100.5,99.813,100.06,100.21,100.03,100.4,100.399,100.125,99.91,100.51,100.871,100.74,100.68,100.81,101.599,103.15,103.51,104.79,103.669,102.733,103.171,103.008,103.099,103.486
127051,博杰转债,2024-08-12,0.433349491032477,108.3,111.9,113.5,113.4,112.978,113.028,110.959,111.36,110.25,110.642,112.698,111.01,111.262,113.044,116.34,115.75,116.158,115.0,116.9,115.428,112.655,111.5,110.957,110.122,109.081,107.84,108.65,107.896,107.89,110.806,111.698,114.0,116.59,120.7,125.4,116.0,119.107,116.023,117.96,118.524,118.941,118.193,121.8,122.828,122.949,122.955,121.367,122.786,122.987,121.538,120.614,120.604,117.902,120.5,121.99,122.65,123.258,122.257,124.914,123.9,123.8
127052,西子转债,2024-06-25,0.6021505376344085,110.999,112.016,111.925,113.008,113.66,113.531,112.782,110.36,110.9,109.5,110.809,110.267,111.675,115.011,112.878,112.022,110.946,110.952,111.8,112.403,110.4,108.011,108.425,110.99,109.7,109.747,112.9,113.607,112.171,109.416,109.813,111.076,110.479,110.399,109.634,109.724,108.79,107.275,104.566,105.79,104.08,104.468,104.118,103.805,106.212,105.894,106.471,109.882,111.403,109.524,109.785,110.007,110.296,109.881,108.907,108.1,107.249,107.6,106.651,105.474,106.408
127052,西子转债,2022-10-10,0.6740767300107565,120.45,121.46,125.28,126.0,126.5,126.97,128.87,128.2,126.82,127.19,128.0,127.7,128.4,125.5,124.66,123.66,126.8,129.0,128.65,129.2,129.7,129.8,130.1,128.95,127.78,124.8,126.5,124.31,121.9,121.18,122.74,120.49,120.84,122.25,122.1,121.11,121.5,121.48,122.6,122.62,123.11,123.14,121.8,120.9,120.23,118.89,117.5,117.94,119.2,116.83,114.0,114.37,113.29,110.5,110.5,114.35,114.68,113.8,113.35,113.82,115.94
127061,美锦转债,2024-06-25,0.4068058778035576,95.902,97.97,97.452,96.788,96.86,96.661,96.793,95.911,95.756,93.749,93.22,89.068,92.673,91.5,90.45,91.232,91.82,90.918,91.55,90.8,89.097,86.882,87.0,87.865,87.35,85.62,88.151,88.489,89.44,88.6,89.903,90.245,91.058,91.18,91.5,88.731,87.25,87.1,84.863,85.168,84.24,83.7,83.053,82.174,83.164,82.063,81.005,82.618,84.2,83.502,84.13,83.96,85.0,85.739,84.501,84.2,84.128,84.481,83.65,83.316,85.251
127073,天赐转债,2023-11-14,0.5985492227979274,115.25,120.801,119.3,119.6,120.48,120.339,118.489,118.5,117.0,115.048,115.05,114.1,114.17,114.4,113.09,112.145,113.385,113.7,113.872,114.519,114.141,112.919,111.687,112.218,111.5,110.55,108.899,110.297,112.53,113.1,112.5,113.0,116.0,116.996,115.885,115.0,113.802,112.85,111.0,112.277,112.91,115.0,115.341,114.55,115.12,112.499,113.7,113.5,109.804,110.169,108.9,111.177,110.034,107.8,106.0,106.41,106.918,106.925,105.3,108.58,107.111
127081,中旗转债,2024-07-10,0.6895403064623584,110.1,116.575,114.36,111.3,110.666,109.37,109.326,113.639,112.496,117.848,137.5,130.0,112.898,115.191,113.806,118.0,117.06,113.3,113.506,114.003,114.155,112.65,113.0,112.401,114.381,114.555,114.02,111.4,110.117,107.475,107.628,106.7,106.32,108.631,107.6,107.328,109.9,110.88,108.541,109.95,110.398,110.3,109.986,109.056,108.401,110.314,108.659,107.751,106.776,108.092,106.342,106.68,109.818,111.949,113.43,119.713,121.984,123.93,115.114,115.4,113.159
127087,星帅转2,2024-07-18,0.6108597285067873,108.08,112.5,112.19,110.631,108.4,110.5,114.54,113.8,113.3,115.815,117.5,115.691,113.252,113.896,114.99,115.2,114.3,113.155,113.98,112.36,112.244,108.955,109.454,107.301,105.35,104.686,103.929,106.821,105.108,105.433,109.0,110.06,108.357,108.385,108.221,109.026,108.72,107.993,107.104,107.015,107.1,106.15,105.468,106.97,105.856,105.059,109.0,110.514,114.6,116.886,120.091,124.211,117.75,119.1,118.3,119.611,118.024,117.502,116.887,118.385,119.355
127089,晶澳转债,2025-07-22,0.30507587650444795,115.283,122.5,124.666,124.35,122.39,124.0,123.317,120.6,121.49,121.8,122.541,123.179,122.35,122.215,123.579,123.111,123.452,122.6,124.76,126.465,126.362,126.7,127.362,128.4,128.914,128.3,124.203,124.831,126.27,124.5,123.07,125.032,127.8,132.5,132.55,129.203,128.3,129.23,129.23,127.83,128.157,129.468,127.12,125.675,124.545,124.25,127.2,127.0,127.222,128.369,129.088,129.555,128.511,127.77,129.37,131.011,129.598,127.9,127.155,127.863,127.33
128012,辉丰转债,2020-06-24,0.5680933852140078,99.999,99.999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
128013,洪涛转债,2021-02-23,0.7483870967741935,101.46,102.9,102.6,102.78,103.43,103.6,103.92,104.08,103.93,103.4,102.0,101.72,102.34,103.03,103.59,104.18,105.55,105.79,105.41,105.6,104.1,104.11,103.86,104.79,104.47,103.92,104.39,104.25,104.09,104.39,104.87,106.19,106.5,106.52,107.12,107.12,107.84,108.8,108.5,107.97,107.51,107.16,106.49,104.45,104.7,104.25,104.94,104.89,105.6,105.6,105.26,105.36,105.34,105.7,106.3,105.41,105.55,105.42,105.18,105.48,105.85
128013,洪涛转债,2020-06-29,0.39,103.88,105.7,106.08,106.89,107.95,112.1,112.15,112.9,113.2,113.38,114.6,113.73,112.0,109.01,109.09,111.44,112.01,112.4,112.7,111.19,110.9,111.63,112.1,111.8,111.88,113.02,112.64,112.84,112.21,111.39,113.37,112.24,115.32,114.2,114.8,115.3,115.0,116.47,114.29,115.0,113.8,114.0,113.13,113.28,113.29,112.96,113.6,113.83,113.97,113.7,113.76,115.2,114.15,111.88,111.55,111.65,111.0,111.03,111.09,111.68,111.55
128015,久其转债,2022-09-13,0.7173601147776184,116.0,118.09,117.8,116.78,115.69,115.79,116.11,118.65,116.21,116.56,116.39,115.49,116.05,115.66,115.49,116.7,119.16,119.34,121.16,123.94,123.16,121.19,120.8,120.1,118.57,116.0,121.0,126.74,128.33,154.0,139.59,153.0,142.0,147.84,149.81,155.3,151.5,156.0,147.8,143.0,140.62,137.2,136.48,125.25,128.5,123.7,120.5,121.0,121.07,120.99,122.02,122.4,127.8,123.56,121.5,120.5,120.5,120.5,120.5,,
128015,久其转债,2021-05-07,0.7352320675105485,101.73,101.35,101.28,101.5,101.5,101.6,101.1,101.24,100.99,101.1,101.29,100.38,100.38,103.49,101.45,101.89,101.8,101.8,101.48,101.45,101.44,101.63,100.4,100.47,102.31,102.43,101.9,100.98,101.23,100.88,101.31,101.37,101.55,101.57,101.66,101.72,101.65,101.52,100.99,100.8,101.14,100.94,100.96,101.06,101.13,101.5,101.76,101.43,101.15,101.4,101.27,101.25,101.43,101.6,101.59,101.07,100.9,100.78,101.05,101.1,101.32
128015,久其转债,2019-04-24,0.7371695178849146,105.305,103.375,103.94,102.117,101.6,97.531,96.15,95.752,96.413,97.091,97.067,97.008,97.725,98.116,97.11,96.383,97.301,97.4,97.001,96.787,96.672,96.649,96.826,96.501,96.23,95.61,94.831,95.05,93.373,92.959,93.62,93.756,93.799,93.304,93.282,93.3,93.52,94.089,95.362,95.78,92.309,92.411,92.579,92.747,93.737,94.48,94.26,93.634,93.934,93.235,93.443,93.301,93.316,93.3,92.882,92.888,92.929,92.799,92.92,92.508,92.5
128018,时达转债,2019-04-11,0.6297548605240914,107.004,107.938,106.251,105.602,106.7,105.95,106.0,105.07,104.0,103.1,100.75,100.22,99.065,99.64,96.789,96.991,96.999,96.539,98.401,98.128,98.02,98.615,98.364,97.601,97.02,97.52,97.061,96.849,96.74,96.09,96.198,95.7,95.323,95.719,95.478,94.91,94.901,93.5,93.8,94.495,94.746,94.978,94.5,94.419,94.003,94.09,94.36,94.997,95.38,94.741,94.497,95.337,95.439,95.81,95.85,95.761,96.012,96.264,95.2,95.403,95.132
