bond_id,name,board_announce_date,meeting_date,effective_date,before_price,after_price,down_floor_price,ratio,is_deep,year,change_reason
113535,大业转债,,2023-05-26,2023-05-30,12.29,9.59,8.86,0.7803091944670464,False,2023.0,
113541,荣晟转债,,2020-06-30,2020-07-02,13.06,11.54,11.54,0.8836140888208268,False,2020.0,
113542,好客转债,,2025-03-05,2025-03-07,15.18,11.0,10.17,0.7246376811594203,True,2025.0,
113545,金能转债,,2025-08-11,2025-08-13,9.75,7.62,7.62,0.7815384615384615,False,2025.0,
113546,迪贝转债,,2024-03-15,2024-03-19,13.72,12.03,12.027,0.8768221574344023,False,2024.0,
113549,白电转债,,2024-09-20,2024-09-24,8.92,7.73,7.73,0.8665919282511211,False,2024.0,
113561,正裕转债,,2024-08-21,2024-08-23,9.88,8.5,8.02,0.8603238866396761,False,2024.0,
113569,科达转债,,2024-07-29,2024-07-31,8.68,6.36,5.07,0.7327188940092166,True,2024.0,
113569,科达转债,,2024-03-25,2024-03-27,14.57,8.68,8.15,0.5957446808510638,True,2024.0,
113573,纵横转债,,2024-05-23,2024-05-27,18.64,12.51,12.51,0.671137339055794,True,2024.0,
113574,华体转债,,2025-03-27,2025-03-31,16.35,13.49,13.48,0.8250764525993883,False,2025.0,
113574,华体转债,,2024-12-10,2024-12-12,30.53,16.35,16.34,0.5355388142810351,True,2024.0,
113575,东时转债,,2025-11-13,2025-11-18,12.15,4.42,4.42,0.36378600823045265,True,2025.0,
113576,起步转债,,2024-05-09,2024-05-13,2.6,1.75,1.74,0.673076923076923,True,2024.0,
113576,起步转债,,2023-09-15,2023-09-19,10.55,2.6,2.47,0.24644549763033174,True,2023.0,
113578,全筑转债,,2023-06-26,2023-06-29,5.25,3.2,2.48,0.6095238095238096,True,2023.0,
113584,家悦转债,,2024-07-22,2024-07-24,35.8,12.8,8.25,0.35754189944134085,True,2024.0,
113591,胜达转债,,2021-05-18,2021-05-20,10.46,8.83,8.83,0.8441682600382409,False,2021.0,
113591,胜达转债,,2020-12-30,2021-01-04,14.73,10.46,10.46,0.7101154107264087,True,2020.0,
113594,淳中转债,,2021-12-02,2021-12-06,27.84,18.23,18.23,0.6548132183908046,True,2021.0,
113595,花王转债,,2022-09-07,2022-09-13,6.92,4.48,4.48,0.647398843930636,True,2022.0,
113596,城地转债,,2024-08-22,2024-08-26,9.99,8.28,5.78,0.8288288288288288,False,2024.0,
113596,城地转债,,2024-07-12,2024-07-16,23.67,9.99,5.39,0.4220532319391635,True,2024.0,
113597,佳力转债,,2025-07-10,2025-07-14,10.63,8.68,8.68,0.8165569143932266,False,2025.0,
113600,新星转债,,2024-08-02,2024-08-06,17.45,10.0,9.24,0.5730659025787966,True,2024.0,
113600,新星转债,,2023-06-30,2023-07-04,23.85,17.45,17.45,0.731656184486373,True,2023.0,
113601,塞力转债,,2025-02-06,2025-02-10,12.5,12.0,7.77,0.96,False,2025.0,
113601,塞力转债,,2024-10-24,2024-10-28,13.71,12.71,7.17,0.9270605397520059,False,2024.0,
113601,塞力转债,,2024-09-05,2024-09-09,16.98,13.71,6.73,0.8074204946996467,False,2024.0,
113602,景20转债,,2023-11-15,2023-11-17,26.6,23.08,23.07,0.8676691729323307,False,2023.0,
113602,景20转债,,2021-03-15,2021-03-17,35.28,27.7,27.67,0.7851473922902494,False,2021.0,
113604,多伦转债,,2023-10-11,2023-10-13,10.33,7.8,7.8,0.755082284607938,False,2023.0,
113605,大参转债,,2024-11-18,2024-11-20,46.49,18.0,16.14,0.3871800387180039,True,2024.0,
113608,威派转债,,2024-12-12,2024-12-16,17.54,6.06,6.06,0.34549600912200684,True,2024.0,
113609,永安转债,,2023-06-02,2023-06-06,16.4,14.93,14.8,0.9103658536585366,False,2023.0,
113610,灵康转债,,2025-07-30,2025-08-01,8.0,6.5,6.4,0.8125,False,2025.0,
113610,灵康转债,,2024-07-12,2024-07-16,8.51,8.0,4.89,0.9400705052878966,False,2024.0,
113618,美诺转债,,2026-02-02,2026-02-04,25.68,21.28,21.28,0.8286604361370717,False,2026.0,
113619,世运转债,,2024-03-05,,,,,,False,2024.0,
113622,杭叉转债,,2022-07-01,2022-07-05,22.68,15.45,15.45,0.6812169312169312,True,2022.0,
113624,正川转债,,2025-10-14,2025-10-16,45.77,20.07,20.07,0.438496831986017,True,2025.0,
113625,江山转债,,2024-11-07,2024-11-11,53.27,20.03,20.03,0.3760090107002065,True,2024.0,
113627,太平转债,,2023-07-31,2023-08-02,49.79,21.81,21.81,0.4380397670214902,True,2023.0,
113629,泉峰转债,,2024-07-29,2024-07-31,9.19,7.89,7.883,0.8585418933623504,False,2024.0,
113629,泉峰转债,,2024-06-07,2024-06-12,22.24,9.19,9.19,0.41321942446043164,True,2024.0,
113630,赛伍转债,,2022-04-19,2022-04-22,32.9,19.2,18.75,0.5835866261398176,True,2022.0,
113632,鹤21转债,,2023-08-31,2023-09-04,26.92,19.84,19.84,0.7369985141158989,True,2023.0,
113632,鹤21转债,,2022-08-01,2022-08-03,38.74,27.23,27.23,0.7028910686628808,True,2022.0,
113636,甬金转债,,2023-08-15,2023-08-17,34.57,27.66,24.59,0.8001157072606306,False,2023.0,
113640,苏利转债,,2024-07-18,2024-07-22,19.11,17.2,13.12,0.9000523286237572,False,2024.0,
113641,华友转债,,2024-10-10,2024-10-14,44.11,35.0,31.43,0.7934708682838358,False,2024.0,
113641,华友转债,,2024-01-29,2024-01-31,81.18,45.0,29.85,0.5543237250554324,True,2024.0,
113642,上22转债,,2022-05-30,,,,,,False,2022.0,
113643,风语转债,,2025-05-07,2025-05-09,15.03,12.02,10.57,0.7997338656021291,False,2025.0,
113644,艾迪转债,,2025-11-20,2025-11-24,23.58,18.75,18.75,0.7951653944020357,False,2025.0,
113652,伟22转债,,2024-05-31,2024-06-04,32.56,28.0,21.73,0.8599508599508598,False,2024.0,
113653,永22转债,,2025-09-23,2025-09-25,22.3,16.5,16.23,0.7399103139013453,True,2025.0,
113653,永22转债,,2023-01-16,2023-01-17,26.81,22.79,22.79,0.8500559492726595,False,2023.0,
113654,永02转债,,2025-02-13,,,,,,False,2025.0,
