candidate,min_gap_pct,sell_gap_pct,switch_hurdle_pct,max_hold_days,stop_gap_ratio_floor,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.0,0.005,0.03,360.0,0.0,0.859968,0.587653,-0.252541,0.4963,1739,1456,0.524518
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.01,0.0,0.0,360.0,0.0,0.844434,0.572119,-0.215274,0.4927,1640,1456,0.518301
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.01,0.005,0.0,360.0,0.0,0.844434,0.572119,-0.215274,0.4927,1640,1456,0.518301
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.005,0.0,0.02,180.0,0.0,0.846812,0.574497,-0.242715,0.5152,1576,1456,0.513818
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.005,0.005,0.02,180.0,0.0,0.846812,0.574497,-0.242715,0.5152,1576,1456,0.513818
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.01,0.0,0.03,360.0,0.0,0.835289,0.562974,-0.199732,0.5397,1158,1456,0.513041
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.01,0.005,0.03,360.0,0.0,0.835289,0.562974,-0.199732,0.5397,1158,1456,0.513041
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.03,0.0,0.01,360.0,0.0,0.847991,0.575676,-0.252765,0.4939,1221,1456,0.512485
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.03,0.005,0.01,360.0,0.0,0.847991,0.575676,-0.252765,0.4939,1221,1456,0.512485
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.0,0.0,0.02,180.0,0.0,0.844815,0.5725,-0.255069,0.4938,2019,1456,0.508733
